source,url,status,raw_lines,nonempty_lines,valid_lines,invalid_lines,valid_ratio,invalid_ratio,unique_selected,invalid_streak,disabled_until,error
domain_fiatnorm_all,https://bestcf.pages.dev/domain/fiatnorm/all.txt,ok,8,8,8,0,1.000000,0.000000,6,0,,
domain_senflare_all,https://bestcf.pages.dev/domain/senflare/all.txt,ok,4,4,1,3,0.250000,0.750000,1,0,,
domain_wuya_all,https://bestcf.pages.dev/domain/wuya/all.txt,ok,45,45,45,0,1.000000,0.000000,43,0,,
domain_ircf_all,https://bestcf.pages.dev/domain/ircf/all.txt,ok,32,32,32,0,1.000000,0.000000,30,0,,
vps789_top100,https://bestcf.pages.dev/vps789/top100.txt,ok,102,102,102,0,1.000000,0.000000,8,0,,
tiancheng2,https://bestcf.pages.dev/tiancheng2/all.txt,ok,122,122,122,0,1.000000,0.000000,119,0,,
junzhen_bj,https://cf.junzhen.qzz.io/best_ips_bj.txt,ok,11,11,11,0,1.000000,0.000000,2,0,,
love_ztm_best_ips,https://raw.githubusercontent.com/love-ztm/cfip/refs/heads/main/best_ips.txt,ok,3,3,3,0,1.000000,0.000000,0,0,,
gshtwy_wetest_v4,https://raw.githubusercontent.com/gshtwy/CF-DNS-Clone/refs/heads/main/wetest-cloudflare-v4.txt,ok,75,75,75,0,1.000000,0.000000,70,0,,
bestcf_pages_dev_vps789_top10_txt,https://bestcf.pages.dev/vps789/top10.txt,ok,12,12,12,0,1.000000,0.000000,4,0,,
bestcf_pages_dev_vps789_top20_txt,https://bestcf.pages.dev/vps789/top20.txt,ok,22,22,22,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_vps789_top50_txt,https://bestcf.pages.dev/vps789/top50.txt,ok,52,52,52,0,1.000000,0.000000,15,0,,
bestcf_pages_dev_tiancheng_all_txt,https://bestcf.pages.dev/tiancheng/all.txt,ok,51,51,51,0,1.000000,0.000000,30,0,,
bestcf_pages_dev_tiancheng_mini_txt,https://bestcf.pages.dev/tiancheng/mini.txt,ok,17,17,17,0,1.000000,0.000000,15,0,,
bestcf_pages_dev_tiancheng_hk_txt,https://bestcf.pages.dev/tiancheng/hk.txt,ok,12,12,12,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_tiancheng_sg_txt,https://bestcf.pages.dev/tiancheng/sg.txt,ok,11,11,11,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_tiancheng_jp_txt,https://bestcf.pages.dev/tiancheng/jp.txt,ok,12,12,12,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_tiancheng_kr_txt,https://bestcf.pages.dev/tiancheng/kr.txt,ok,12,12,12,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_tiancheng_us_txt,https://bestcf.pages.dev/tiancheng/us.txt,ok,12,12,12,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_tiancheng_tw_txt,https://bestcf.pages.dev/tiancheng/tw.txt,ok,3,3,3,0,1.000000,0.000000,1,0,,
bestcf_pages_dev_gslege_DE_txt,https://bestcf.pages.dev/gslege/DE.txt,ok,22,22,22,0,1.000000,0.000000,20,0,,
bestcf_pages_dev_gslege_NL_txt,https://bestcf.pages.dev/gslege/NL.txt,ok,20,20,20,0,1.000000,0.000000,18,0,,
cf_junzhen_qzz_io_best_ips_txt,https://cf.junzhen.qzz.io/best_ips.txt,ok,6,6,6,0,1.000000,0.000000,1,0,,
raw_githubusercontent_com_svip_s_cloudflare_ip_refs_heads_main_best_ips_txt,https://raw.githubusercontent.com/svip-s/cloudflare_ip/refs/heads/main/best_ips.txt,ok,20,20,20,0,1.000000,0.000000,2,0,,
raw_githubusercontent_com_love_ztm_cfip_refs_heads_main_ubest_ips_txt,https://raw.githubusercontent.com/love-ztm/cfip/refs/heads/main/ubest_ips.txt,ok,8,8,8,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_zhixuanwang_ipv4_onlyip_txt,https://bestcf.pages.dev/zhixuanwang/ipv4-onlyip.txt,ok,10,10,10,0,1.000000,0.000000,10,0,,
bestcf_pages_dev_vvhan_ipv4_txt,https://bestcf.pages.dev/vvhan/ipv4.txt,ok,32,32,32,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_vvhan_ipv6_txt,https://bestcf.pages.dev/vvhan/ipv6.txt,ok,27,27,27,0,1.000000,0.000000,10,0,,
bestcf_pages_dev_nirevil_ipv4_txt,https://bestcf.pages.dev/nirevil/ipv4.txt,ok,17,17,17,0,1.000000,0.000000,1,0,,
bestcf_pages_dev_nirevil_ipv6_txt,https://bestcf.pages.dev/nirevil/ipv6.txt,ok,17,17,17,0,1.000000,0.000000,5,0,,
raw_githubusercontent_com_ymyuuu_IPDB_refs_heads_main_BestCF_bestcfv4_txt,https://raw.githubusercontent.com/ymyuuu/IPDB/refs/heads/main/BestCF/bestcfv4.txt,ok,10,10,10,0,1.000000,0.000000,10,0,,
raw_githubusercontent_com_ymyuuu_IPDB_refs_heads_main_BestCF_bestcfv6_txt,https://raw.githubusercontent.com/ymyuuu/IPDB/refs/heads/main/BestCF/bestcfv6.txt,ok,10,10,10,0,1.000000,0.000000,10,0,,
raw_githubusercontent_com_yuanxiawan_cfipv4db_refs_heads_main_cfip_txt,https://raw.githubusercontent.com/yuanxiawan/cfipv4db/refs/heads/main/cfip.txt,ok,16,16,1,15,0.062500,0.937500,1,0,,
raw_githubusercontent_com_joname1_BestCFip_refs_heads_main_ipv4_txt,https://raw.githubusercontent.com/joname1/BestCFip/refs/heads/main/ipv4.txt,ok,114,114,113,1,0.991228,0.008772,101,0,,
raw_githubusercontent_com_joname1_BestCFip_refs_heads_main_ipv6_txt,https://raw.githubusercontent.com/joname1/BestCFip/refs/heads/main/ipv6.txt,ok,37,37,36,1,0.972973,0.027027,36,0,,
raw_githubusercontent_com_Senflare_Senflare_IP_refs_heads_main_IPlist_Pro_txt,https://raw.githubusercontent.com/Senflare/Senflare-IP/refs/heads/main/IPlist-Pro.txt,ok,27,27,27,0,1.000000,0.000000,14,0,,
bestcf_pages_dev_ircf_ipv4_txt,https://bestcf.pages.dev/ircf/ipv4.txt,ok,15,15,15,0,1.000000,0.000000,0,0,,
raw_githubusercontent_com_einsitang_my_fast_cf_ip_refs_heads_master_fastips_txt,https://raw.githubusercontent.com/einsitang/my-fast-cf-ip/refs/heads/master/fastips.txt,ok,20,20,20,0,1.000000,0.000000,20,0,,
raw_githubusercontent_com_hubbylei_bestcf_refs_heads_main_bestcf_txt,https://raw.githubusercontent.com/hubbylei/bestcf/refs/heads/main/bestcf.txt,ok,10,10,10,0,1.000000,0.000000,10,0,,
bestcf_pages_dev_entryip_50_txt,https://bestcf.pages.dev/entryip/50.txt,ok,52,52,52,0,1.000000,0.000000,45,0,,
bestcf_pages_dev_tiancheng2_mini_txt,https://bestcf.pages.dev/tiancheng2/mini.txt,ok,22,22,22,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_tiancheng2_hk_txt,https://bestcf.pages.dev/tiancheng2/hk.txt,ok,32,32,32,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_tiancheng2_sg_txt,https://bestcf.pages.dev/tiancheng2/sg.txt,ok,32,32,32,0,1.000000,0.000000,0,0,,
bestcf_pages_dev_tiancheng2_us_txt,https://bestcf.pages.dev/tiancheng2/us.txt,ok,32,32,32,0,1.000000,0.000000,0,0,,
